Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Turoctocog Alfa Pegilato,TUROCTOCOG ALFA PEGILATO 500UI 4ML 1 UNITA' USO PARENTERALE,ESPEROCT*1 flaconcino EV 500 Unita' Internazionali + 1 siringa preriemp 4 ml,NOVO NORDISK A/S,048083012,LCF,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/48083/stampati?ts=RCP
Ulipristal,ULIPRISTAL 5MG 28 UNITA' USO ORALE,ESMYA*28 cpr 5 mg,GEDEON RICHTER PLC,042227013,IUX,3130,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3130/farmaci/42227/stampati?ts=RCP
Umeclidinio,UMECLIDINIO 55MCG 30 UNITA' USO RESPIRATORIO,INCRUSE ELLIPTA*polv inal 30 dosi 55 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043374026,GBF,4942,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4942/farmaci/43374/stampati?ts=RCP
Umeclidinio,UMECLIDINIO 55MCG 30 UNITA' USO RESPIRATORIO,ROLUFTA ELLIPTA*1 inalatore 30 dosi 55 mcg,GLAXOSMITHKLINE TRAD.SERV.LTD,045321027,GBF,3438,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3438/farmaci/45321/stampati?ts=RCP
Umeclidinio/Vilanterolo,UMECLIDINIO+VILANTEROLO 55MCG+22MCG 30 UNITA' USO RESPIRATORIO,ANORO ELLIPTA*polv inal 30 dosi 55 mcg + 22 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043438023,GCD,4942,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4942/farmaci/43438/stampati?ts=RCP
Umeclidinio/Vilanterolo,UMECLIDINIO+VILANTEROLO 55MCG+22MCG 30 UNITA' USO RESPIRATORIO,LAVENTAIR ELLIPTA*polv inal 30 dosi 55 mcg + 22 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043444025,GCD,4942,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4942/farmaci/43444/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 300UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 300 UI/ml + 5 siringhe + 10 aghi,IBSA FARMACEUTICI ITALIA Srl,032921177,GDZ,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 225UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 225 UI/ml + 1 siringa + 2 aghi,IBSA FARMACEUTICI ITALIA Srl,032921138,GEF,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 300UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 300 UI/ml + 1 siringa + 1 ago,IBSA FARMACEUTICI ITALIA Srl,032921165,GEL,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 150UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 150 UI/ml + 5 siringhe,IBSA FARMACEUTICI ITALIA Srl,032921114,GEP,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
