Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 80 mg + 12,5 mg",NOVARTIS FARMA SpA,034114025,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 80 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134027,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 80 mg + 12,5 mg",SANDOZ SpA,034774024,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",TEVA ITALIA Srl,040259069,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",EG SpA,040589032,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALBACOMP*28 cpr riv 80 mg + 12,5 mg",EG SpA,040757039,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",SUN PHARMACEUTICAL IND.EU.B.V.,040842041,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",SANDOZ SpA,040920023,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",HCS BVBA,041012028,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",DOC GENERICI Srl,041105014,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",MYLAN SpA,041255011,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALIDROC*28 cpr riv 80 mg + 12,5 mg",SO.SE.PHARM Srl,041293034,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",ZENTIVA ITALIA Srl,041492036,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",ALMUS Srl,042208037,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 80+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 80 mg + 12,5 mg",AUROBINDO PHARMA ITALIA Srl,042278010,FQA
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 160 mg + 12,5 mg",NOVARTIS FARMA SpA,034114076,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 160 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134041,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 160 mg + 12,5 mg",SANDOZ SpA,034774048,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TEVA ITALIA Srl,040240044,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",EG SpA,040589119,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALBACOMP*28 cpr riv 160 mg + 12,5 mg",EG SpA,040757116,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",SUN PHARMACEUTICAL IND.EU.B.V.,040842142,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",SANDOZ SpA,040920074,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",HCS BVBA,041012143,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",DOC GENERICI Srl,041105026,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",MYLAN SpA,041255023,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALIDROC*28 cpr riv 160 mg + 12,5 mg",SO.SE.PHARM Srl,041293111,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TECNIMEDE SOC.TECNICO-MED.S.A.,041944024,FQB
